date,symbol,series_kind,open,high,low,close,adj_close,volume,trading_date
2016-10-05,TOPIX,TOPIX_INDEX_JPX,1345.24,1349.81,1340.62,1347.81,1347.81,,2016-10-05
2016-10-06,TOPIX,TOPIX_INDEX_JPX,1355.44,1360.2,1353.02,1353.93,1353.93,,2016-10-06
2016-10-07,TOPIX,TOPIX_INDEX_JPX,1352.9,1354.01,1345.8,1350.61,1350.61,,2016-10-07
2016-10-11,TOPIX,TOPIX_INDEX_JPX,1353.9,1362.33,1353.29,1356.35,1356.35,,2016-10-11
2016-10-12,TOPIX,TOPIX_INDEX_JPX,1342.52,1352.28,1342.19,1342.35,1342.35,,2016-10-12
2016-10-13,TOPIX,TOPIX_INDEX_JPX,1348.21,1353.97,1337.15,1342.31,1342.31,,2016-10-13
2016-10-14,TOPIX,TOPIX_INDEX_JPX,1341.14,1348.14,1337.92,1347.19,1347.19,,2016-10-14
2016-10-17,TOPIX,TOPIX_INDEX_JPX,1346.24,1354.93,1344.46,1352.56,1352.56,,2016-10-17
2016-10-18,TOPIX,TOPIX_INDEX_JPX,1350.06,1356.65,1347.47,1356.57,1356.57,,2016-10-18
2016-10-19,TOPIX,TOPIX_INDEX_JPX,1355.6,1359.01,1353.33,1357.2,1357.2,,2016-10-19
2016-10-20,TOPIX,TOPIX_INDEX_JPX,1356.27,1370.8,1355.44,1370.8,1370.8,,2016-10-20
2016-10-21,TOPIX,TOPIX_INDEX_JPX,1372.64,1373.18,1362.95,1365.29,1365.29,,2016-10-21
2016-10-24,TOPIX,TOPIX_INDEX_JPX,1366.62,1368.7,1361.51,1367.61,1367.61,,2016-10-24
2016-10-25,TOPIX,TOPIX_INDEX_JPX,1372.45,1378.96,1372.0,1377.32,1377.32,,2016-10-25
2016-10-26,TOPIX,TOPIX_INDEX_JPX,1375.49,1382.79,1372.77,1382.7,1382.7,,2016-10-26
2016-10-27,TOPIX,TOPIX_INDEX_JPX,1381.1,1387.85,1377.65,1382.01,1382.01,,2016-10-27
2016-10-28,TOPIX,TOPIX_INDEX_JPX,1389.8,1392.75,1386.77,1392.41,1392.41,,2016-10-28
2016-10-31,TOPIX,TOPIX_INDEX_JPX,1387.32,1393.44,1385.2,1393.02,1393.02,,2016-10-31
2016-11-01,TOPIX,TOPIX_INDEX_JPX,1391.97,1394.92,1384.45,1393.19,1393.19,,2016-11-01
2016-11-02,TOPIX,TOPIX_INDEX_JPX,1376.68,1377.61,1363.02,1368.44,1368.44,,2016-11-02
