paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z
paper1,2026-03-08_062530,-3,3,GPT+LMMD,False,False,1087,0.008705724218496802,0.00011021549470914435,0.0013684462066685435,0.9358072975774628,0.0037077099524889454,0.0014329417019947064,0.009668042470061375,,,,,,
paper1,2026-03-08_062530,-3,3,GPT+LMMD+IndFE,False,True,1087,0.06269129642152782,-0.00015017258810448163,0.0013987859805341092,0.9145039959561111,0.004478994285295846,0.0015713745499449806,0.004366879857355637,,,,,,
paper1,2026-03-08_062530,-3,3,GPT+LMMD+YearFE,True,False,1087,0.027067557632899697,0.0005563105695245733,0.0017369976390855493,0.7487626436746867,0.0034658154853556143,0.0014331256876480214,0.015590594444388487,,,,,,
paper1,2026-03-08_062530,-3,3,GPT+LMMD+YearFE+IndFE,True,True,1087,0.08002517487256955,0.00034627184950122706,0.0017460842469524075,0.8427998924941738,0.0042969406413609764,0.0015598952264603335,0.005875779898562829,,,,,,
paper1,2026-03-08_062530,-3,3,LMMD_Neg,False,False,1087,0.007479380066866437,,,,,,,-0.0034822926887549655,0.0013193952986691607,0.008307507213068492,,,
paper1,2026-03-08_062530,-3,3,LMMD_Neg+IndFE,False,True,1087,0.058954733927645386,,,,,,,-0.003356662553491152,0.0014221300355976311,0.01825984893878957,,,
paper1,2026-03-08_062530,-3,3,LMMD_Neg+YearFE,True,False,1087,0.025175683236653312,,,,,,,-0.0032382395814653034,0.0014039264619097064,0.021079402908947917,,,
paper1,2026-03-08_062530,-3,3,LMMD_Neg+YearFE+IndFE,True,True,1087,0.07535790778159701,,,,,,,-0.003015602399939233,0.001525561337018993,0.04807367477946563,,,
paper1,2026-03-08_062530,-3,3,LMMD_Pos,False,False,1087,0.0025724383474241552,,,,,,,,,,0.002042231437144452,0.0012659612277095254,0.10670401694715789
paper1,2026-03-08_062530,-3,3,LMMD_Pos+IndFE,False,True,1087,0.05825843662224173,,,,,,,,,,0.0034423140158657507,0.001452810263942563,0.017816130938172744
paper1,2026-03-08_062530,-3,3,LMMD_Pos+YearFE,True,False,1087,0.021951180813173043,,,,,,,,,,0.0020922902010035147,0.0013018362128540972,0.10801403287077037
paper1,2026-03-08_062530,-3,3,LMMD_Pos+YearFE+IndFE,True,True,1087,0.07701077432124404,,,,,,,,,,0.0037340685012141046,0.0014945190894123425,0.012471718619445286
paper1,2026-03-08_062530,-3,3,LMMD_PosNeg,False,False,1087,0.009402639166787408,,,,,,,-0.0033387197153324577,0.0013169984024901614,0.011241594540216247,0.0017716671117230475,0.0012486215924527703,0.15592865472955714
paper1,2026-03-08_062530,-3,3,LMMD_PosNeg+IndFE,False,True,1087,0.06268083754443754,,,,,,,-0.00298756630320331,0.0014144985007885742,0.03467762931563985,0.0030021118865201195,0.0014224018029552698,0.034807273694442795
